season_id,episode_id,scene_id,utterance_id,speaker,emotion,tokens,sentences
trn,e02,c01,u001,Monica Geller,joy,"[['What', 'you', 'guys', 'do', ""n't"", 'understand', 'is', ',', 'for', 'us', ',', 'kissing', 'is', 'as', 'important', 'as', 'any', 'part', 'of', 'it', '.']]","What you guys don't understand is, for us, kissing is as important as any part of it."
trn,e02,c01,u002,Joey Tribbiani,neutral,"[['Yeah', ',', 'right', '!'], ['.......'], [""Y'serious"", '?']]","Yeah, right!.......Y'serious?"
trn,e02,c01,u003,Phoebe Buffay,joy,"[['Oh', ',', 'yeah', '!']]","Oh, yeah!"
trn,e02,c01,u004,Rachel Green,powerful,"[['Everything', 'you', 'need', 'to', 'know', 'is', 'in', 'that', 'first', 'kiss', '.']]",Everything you need to know is in that first kiss.
trn,e02,c01,u005,Monica Geller,powerful,"[['Absolutely', '.']]",Absolutely.
trn,e02,c01,u006,Chandler Bing,joy,"[['Yeah', ',', 'I', 'think', 'for', 'us', ',', 'kissing', 'is', 'pretty', 'much', 'like', 'an', 'opening', 'act', ',', ""y'know"", '?'], ['I', 'mean', 'it', ""'s"", 'like', 'the', 'stand', '-', 'up', 'comedian', 'you', 'have', 'to', 'sit', 'through', 'before', 'Pink', 'Floyd', 'comes', 'out', '.']]","Yeah, I think for us, kissing is pretty much like an opening act, y'know? I mean it's like the stand-up comedian you have to sit through before Pink Floyd comes out."
trn,e02,c01,u007,Ross Geller,neutral,"[['Yeah', ',', 'and', '-', 'and', 'it', ""'s"", 'not', 'that', 'we', 'do', ""n't"", 'like', 'the', 'comedian', ',', 'it', ""'s"", 'that', '-', 'that', '...'], ['that', ""'s"", 'not', 'why', 'we', 'bought', 'the', 'ticket', '.']]","Yeah, and-and it's not that we don't like the comedian, it's that-that... that's not why we bought the ticket."
trn,e02,c01,u008,Chandler Bing,angry,"[['The', 'problem', 'is', ',', 'though', ',', 'after', 'the', 'concert', ""'s"", 'over', ',', 'no', 'matter', 'how', 'great', 'the', 'show', 'was', ',', 'you', 'girls', 'are', 'always', 'looking', 'for', 'the', 'comedian', 'again', ',', ""y'know"", '?'], ['I', 'mean', ',', 'we', ""'re"", 'in', 'the', 'car', ',', 'we', ""'re"", 'fighting', 'traffic', '...'], ['basically', 'just', 'trying', 'to', 'stay', 'awake', '.']]","The problem is, though, after the concert's over, no matter how great the show was, you girls are always looking for the comedian again, y'know? I mean, we're in the car, we're fighting traffic... basically just trying to stay awake."
trn,e02,c01,u009,Rachel Green,sad,"[['Yeah', ',', 'well', ',', 'word', 'of', 'advice', ':', 'Bring', 'back', 'the', 'comedian', '.'], ['Otherwise', 'next', 'time', 'you', ""'re"", 'gon', 'na', 'find', 'yourself', 'sitting', 'at', 'home', ',', 'listening', 'to', 'that', 'album', 'alone', '.']]","Yeah, well, word of advice: Bring back the comedian. Otherwise next time you're gonna find yourself sitting at home, listening to that album alone."
trn,e02,c01,u010,Joey Tribbiani,joy,"[['....'], ['Are', 'we', 'still', 'talking', 'about', 'sex', '?']]",....Are we still talking about sex?
