,wav_id,sentences,상황,1번 감정,2번 감정,3번 감정,4번 감정,5번 감정,emotion,label
0,5f6615499e04b149046cb631,나 드디어 프로젝트가 끝났어.,happiness,happiness,happiness,happiness,happiness,happiness,happy,1
1,5f605b7fb878131628349c17,나를 너무 힘들게 하고 괴롭히니까. 나도 화가 나서 그래.,angry,angry,angry,angry,angry,angry,angry,3
2,5f5c0fe82e23c7161acccf80,내 휴가가 엉망이야!,angry,angry,angry,sadness,disgust,angry,angry,3
3,5fb8c48f4c55eb78bd7cddf7,자세히는 모르겠는데 진짜 조금 뽑는 거였을걸?	,happiness,neutral,angry,happiness,neutral,neutral,neutral,0
4,5fba3e0144697678c497b441,화장실은 청소를 해도 곰팡이가 없어지질 않아! 짜증나!,angry,disgust,angry,angry,angry,angry,angry,3
5,5f8d024ad338b948c4e6a1df,맞아 결국엔 환기 문제인 것 같아.,angry,sadness,sadness,sadness,sadness,angry,sad,2
6,5f5e2195b878131628349a3d,하긴. 욕을 한다고 속이 풀리는 건 아니더라. 그냥 음악이나 들으면서 마음을 풀어야겠어. 나는 잔잔한 음악을 좋아해.,angry,neutral,happiness,sadness,angry,angry,angry,3
7,5fb9e2874c55eb78bd7ce075,아직 선수까진 아니지.,happiness,neutral,sadness,neutral,neutral,neutral,neutral,0
8,5f8ef667f8fac448cc0a7beb,가 많이 와서 나갈 수가 없어.,fear,sadness,fear,sadness,fear,sadness,sad,2
9,5f71d716f8fac448cc0a62a5,아무튼 사람들이 너무 많았어.,neutral,neutral,fear,sadness,neutral,neutral,neutral,0
10,5f8e47a2d338b948c4e6a32e,빨리 버리고 와야겠어. 정말 큰일이야.,disgust,fear,disgust,happiness,disgust,sadness,disgust,4
11,5fbca3294c55eb78bd7ce958,다행히 내가 바로 붙잡아서 사고는 없었어.,surprise,neutral,angry,neutral,sadness,neutral,neutral,0
12,5f6817f99e04b149046cb7de,너가 추천한 곳이니까 믿고 가서 친구랑 먹고올게. 고마워.,neutral,happiness,happiness,happiness,happiness,neutral,happy,1
13,5f894d56d338b948c4e69c06,나 오늘 짭새가 몰려 있길래 궁금해서 구경 다녀왔어.  ,neutral,neutral,fear,surprise,neutral,neutral,neutral,0
14,5f696d62f8fac448cc0a5c30,나 축하해줘! 기분 좋은 일이 생겼어.,happiness,happiness,happiness,happiness,happiness,happiness,happy,1
15,5fb88802cb503578af9edb4d,백화점에서 하는 향수이벤트. 한 명만 뽑는데 내가 됐어.,happiness,neutral,neutral,neutral,neutral,sadness,neutral,0
16,5f9a2b18111dfd48d40ff9ae,자고 일어났더니 우리 집 주변이 다 물에 잠겨있어.,fear,fear,fear,sadness,fear,fear,fear,5
17,5f6d5e89d338b948c4e6881e,노트북을 오래 사용할 수 있도록 보험에 가입 해 봐야 겠어.,happiness,neutral,happiness,happiness,happiness,happiness,happy,1
18,5f9a33b19e04b149046ce488,구매해야겠어. 좋은 거 있으면 추천해줘.,angry,neutral,angry,sadness,disgust,neutral,neutral,0
19,5f5e19cd3bd6941613f6d277,생명과학 분야 주식이야. 주식은 괜찮아.,sadness,neutral,sadness,sadness,sadness,sadness,sad,2
20,5f6eacd8111dfd48d40fd285,"내가 지금 엄청 화가 났는데, 내 기분을 풀어줄 영상이 있어?",angry,angry,angry,angry,angry,angry,angry,3
21,5fb9c8f544697678c497b11e,그냥 생각이 없어. 그면 자기 기분이 좋으면 좋은대로 나쁘면 나쁜대로 그걸로 다 난리야.,angry,sadness,neutral,neutral,neutral,disgust,neutral,0
22,5fbb4c084c55eb78bd7ce4b2,괜찮아. 얼른 누가 구해주러 왔으면 좋겠다.,fear,sadness,fear,sadness,neutral,sadness,sad,2
23,5f813085111dfd48d40fd996,어짜피 지금 팔지도 못해. 손해가 크거든.,sadness,sadness,sadness,sadness,sadness,sadness,sad,2
24,5fba44a74c55eb78bd7ce2f4,어 그래서 짭새들이 막 몰려있어서 봤더니 거기 글쎄 사람들이 막 싸우고 있는거야.,neutral,surprise,neutral,surprise,neutral,surprise,surprise,6
25,5fb8c8f14c55eb78bd7cde26,나 엘레베이터에 갇혔어.,fear,sadness,neutral,neutral,sadness,sadness,sad,2
26,5f878c98d338b948c4e698d0,쓰레기통에서 역겨운 냄새가 나기 시작했어!,disgust,disgust,disgust,disgust,disgust,disgust,disgust,4
27,5fba375bcb503578af9ee153,나 축하해줘. 진짜 기분 좋은 일 있었어.,happiness,happiness,angry,neutral,happiness,happiness,happy,1
28,5f6e8b2e111dfd48d40fd23f,음식점이 너무 많은 강남역이야.,neutral,fear,happiness,sadness,disgust,disgust,disgust,4
29,5fbc9e5fcb503578af9ee7fb,난 삼성계열 주식을 들고 있어.,sadness,neutral,neutral,neutral,neutral,neutral,neutral,0
30,5fba1c94576e9378b67ac7a4,안 그래도 마트에서 곰팡이 제거제를 사오려고 했는데 좋은 생각인 것 같아.,angry,sadness,neutral,neutral,neutral,neutral,neutral,0
31,5fbb703f576e9378b67acbd6,그 새끼는 할 일 없으면 집에나 갈 것이지 나한테 왜 그래?,angry,angry,angry,angry,neutral,angry,angry,3
32,5fb9ec314c55eb78bd7ce0c6,음. 꽤 심각해보였어. 경찰들도 진짜 많고.,neutral,surprise,neutral,neutral,neutral,fear,neutral,0
33,5f9a72e79e04b149046ce522,"짜장면에서 벌레가 나왔어. 이게 무슨 일이래, 정말.",disgust,disgust,angry,disgust,disgust,disgust,disgust,4
34,5f917b97f8fac448cc0a7e80,아! 짜증 나! 그 새끼 일 끝났으면 빨리 집에나 가지. 회사에 남아서 짜증 내고 나한테 화 내.,angry,angry,angry,angry,angry,angry,angry,3
35,5f8059d9111dfd48d40fd7fe,완전 진정되었어.,surprise,neutral,surprise,sadness,neutral,neutral,neutral,0
36,5f8d71f2d338b948c4e6a258,내가 받은 선물이 궁금해? 나중에 꼭 보여줄게.,happiness,happiness,happiness,happiness,happiness,happiness,happy,1
37,5f5f01602e23c7161accd1be,다행히 집 안까지는 들어오지 않았어. 나도 괜찮아. 그런데 조금 무서워.,fear,fear,fear,sadness,fear,fear,fear,5
38,5f923119f8fac448cc0a7f14,집 안에 갇혀있어. 밖에는 물이 잔뜩 고여있고.,fear,fear,fear,sadness,fear,neutral,fear,5
39,5f65e2d4d338b948c4e680dc,함께 달리는 크루가 있어서 지치고 힘들 때 큰 힘이 되어 줘.,happiness,happiness,happiness,happiness,happiness,neutral,happy,1
40,5f89937a111dfd48d40fe601,자고 일어났더니 우리 집 빼고 주변이 다 물에 잠겨 있잖아!,fear,fear,fear,sadness,fear,fear,fear,5
41,5fbe2525cb503578af9eecdb,이번에 내가 마라톤 기록을 갱신했어!,happiness,neutral,happiness,happiness,happiness,happiness,happy,1
42,5f97fa79f8fac448cc0a8399,내가 자는 동안에 우리 동네에 비가 엄청 많이 왔대. 나는 대피도 못하고 잠만 잔 거야.,fear,sadness,fear,sadness,fear,fear,fear,5
43,5f6aed2ad338b948c4e68603,다행히 집 안으로 물이 안 차서 괜찮아. ,fear,fear,fear,sadness,fear,fear,fear,5
44,5f97f14df8fac448cc0a8378,아으 짜증나. 그 새끼 일 끝났으면 빨리 집에나 가지. 회사에 남아서 나한테 잔소리 해.,angry,angry,angry,angry,angry,angry,angry,3
45,5f984966f8fac448cc0a8465,곰팡이 제거제가 효과가 좀 있다고 하니까 나 구매해서 사용해볼래.,angry,disgust,angry,sadness,disgust,neutral,disgust,4
46,5f5b4cca54b23616212846a4,노트북을 밖에 가지고 나갈 일이 생길 수도 있으니까 노트북 보험에 대해서 생각해볼게.,happiness,neutral,happiness,happiness,happiness,happiness,happy,1
47,5f41d3a49dd513131eaceed4,해피의 목줄이 갑자기 끊어져서 해피가 막 달려 나갔어.,surprise,surprise,surprise,surprise,surprise,fear,surprise,6
48,5fbdbf9ecb503578af9eead2,구매하고 싶어.,angry,angry,neutral,neutral,neutral,neutral,neutral,0
